circuitId,year,raceId,FastestLap,driverId,FastestLapSeconds
1,2009,1,1:26.202,18,86.202
3,2009,4,1:33.431,15,93.431
4,2009,5,1:20.527,18,80.527
6,2009,6,1:14.902,18,74.902
9,2009,8,1:19.509,20,79.509
11,2009,10,1:21.569,4,81.569
13,2009,12,1:46.308,21,106.30799999999999
14,2009,13,1:24.066,1,84.066
22,2009,15,1:32.160,20,92.16
18,2009,16,1:19.576,22,79.576
1,2008,18,1:26.714,1,86.714
3,2008,20,1:33.096,9,93.096
4,2008,21,1:21.813,8,81.813
6,2008,23,1:15.787,13,75.787
7,2008,24,1:17.886,1,77.886
9,2008,26,1:21.049,5,81.049
11,2008,28,1:20.899,1,80.899
13,2008,30,1:47.338,1,107.338
14,2008,31,1:37.555,20,97.555
18,2008,35,1:12.368,13,72.368
1,2007,36,1:26.072,8,86.072
3,2007,38,1:32.652,13,92.652
4,2007,39,1:21.421,13,81.42099999999999
6,2007,40,1:15.726,4,75.726
7,2007,41,1:15.707,1,75.707
9,2007,44,1:19.997,1,79.997
11,2007,46,1:19.674,4,79.674
14,2007,48,1:21.997,4,81.997
13,2007,49,1:45.994,8,105.994
18,2007,52,1:11.931,13,71.931
3,2006,53,1:31.431,30,91.431
1,2006,55,1:25.229,18,85.229
4,2006,58,1:14.648,4,74.648
6,2006,59,1:13.962,4,73.962
9,2006,60,1:20.253,4,80.253
7,2006,61,1:14.942,4,74.94200000000001
11,2006,65,1:19.599,8,79.599
14,2006,67,1:21.484,8,81.48400000000001
22,2006,69,1:29.599,13,89.599
18,2006,70,1:10.680,13,70.68
1,2005,71,1:33.171,21,93.17099999999999
3,2005,73,1:29.848,4,89.848
4,2005,75,1:14.819,8,74.819
6,2005,76,1:13.644,8,73.644
7,2005,78,1:15.217,18,75.217
9,2005,81,1:19.905,4,79.905
11,2005,83,1:19.882,30,79.882
14,2005,85,1:20.878,8,80.878
13,2005,86,1:46.391,31,106.39099999999999
18,2005,87,1:11.988,4,71.988
22,2005,88,1:46.106,23,106.106
1,2004,90,1:24.408,30,84.408
3,2004,92,1:30.139,30,90.139
4,2004,94,1:15.022,30,75.022
6,2004,95,1:13.985,15,73.985
7,2004,97,1:12.275,23,72.275
9,2004,100,1:18.233,8,78.233
11,2004,102,1:19.146,30,79.146
13,2004,103,1:56.232,15,116.232
14,2004,104,1:20.089,22,80.089
22,2004,106,1:33.542,30,93.542
18,2004,107,1:10.646,22,70.646
1,2003,108,1:27.173,30,87.173
18,2003,110,1:13.807,22,73.807
4,2003,112,1:17.762,30,77.762
6,2003,114,1:15.259,23,75.259
7,2003,115,1:15.529,23,75.529
9,2003,118,1:21.209,22,81.209
11,2003,120,1:21.688,4,81.688
14,2003,121,1:20.963,30,80.963
22,2003,123,1:31.713,22,91.713
22,2002,140,1:31.317,30,91.31700000000001
1,2000,158,1:30.556,57,90.556
9,2000,161,1:25.703,22,85.703
22,2000,173,1:35.825,30,95.825
1,1999,175,1:30.462,57,90.462
18,1999,176,1:16.568,57,76.568
1,1998,191,1:30.010,57,90.01
18,1998,192,1:17.092,57,77.092
9,1998,199,1:23.271,57,83.271
13,1998,203,1:48.682,57,108.682
1,1997,207,1:29.369,35,89.369
18,1997,208,1:16.004,35,76.004
6,1997,211,1:18.216,49,78.21600000000001
4,1997,212,1:16.525,35,76.525
7,1997,213,1:18.095,30,78.095
9,1997,215,1:21.598,35,81.598
1,1996,224,1:32.371,35,92.37100000000001
18,1996,225,1:18.111,71,78.111
6,1996,229,1:20.356,30,80.356
4,1996,230,1:20.650,71,80.65
18,1995,240,1:20.081,71,80.081
4,1995,243,1:21.452,30,81.452
6,1995,244,1:21.952,71,81.952
7,1995,245,1:27.661,30,87.661
9,1995,247,1:28.124,71,88.124
11,1995,249,1:16.982,71,76.982
13,1995,250,1:54.392,77,114.392
14,1995,251,1:24.462,14,84.462
22,1995,255,1:38.023,30,98.023
18,1994,257,1:15.962,102,75.962
4,1994,261,1:21.908,30,81.908
7,1994,262,1:26.178,30,86.178
9,1994,264,1:24.960,71,84.96000000000001
11,1994,266,1:18.258,30,78.258
13,1994,267,2:21.163,22,141.163
14,1994,268,1:23.844,55,83.844
22,1994,271,1:37.209,30,97.209
3,2010,337,1:54.101,20,114.101
1,2010,338,1:23.919,20,83.919
4,2010,341,1:19.995,17,79.995
6,2010,342,1:13.826,17,73.826
7,2010,344,1:15.105,1,75.105
9,2010,346,1:29.615,20,89.615
11,2010,348,1:18.773,20,78.773
13,2010,349,1:45.778,17,105.77799999999999
14,2010,350,1:21.962,4,81.962
22,2010,352,1:30.785,20,90.785
18,2010,354,1:14.470,807,74.47
1,2011,841,1:23.529,20,83.529
4,2011,845,1:20.981,17,80.981
6,2011,846,1:13.556,20,73.556
7,2011,847,1:13.014,20,73.014
9,2011,849,1:30.399,17,90.399
11,2011,851,1:19.815,20,79.815
13,2011,852,1:48.298,20,108.298
14,2011,853,1:22.275,20,82.275
22,2011,855,1:30.466,20,90.46600000000001
18,2011,859,1:11.918,20,71.918
1,2012,860,1:24.922,1,84.922
3,2012,863,1:32.422,20,92.422
4,2012,864,1:21.707,1,81.707
6,2012,865,1:14.301,30,74.301
7,2012,866,1:13.784,20,73.784
9,2012,868,1:51.746,4,111.74600000000001
11,2012,870,1:20.953,1,80.953
13,2012,871,1:47.573,18,107.57300000000001
14,2012,872,1:24.010,1,84.01
