qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,86.572,85.187,10
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,86.10300000000001,85.315,4
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,85.664,85.452,1
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,85.994,85.691,3
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,85.96000000000001,85.518,2
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,86.42699999999999,86.101,9
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,86.295,86.059,6
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,86.381,86.063,8
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,86.919,86.164,16
10,18,20,5,15,10,1:26.702,1:25.842,\N,86.702,85.842,11
11,18,22,11,17,11,1:26.369,1:26.173,\N,86.369,86.173,7
12,18,4,4,5,12,1:26.907,1:26.188,\N,86.907,86.188,14
13,18,18,11,16,13,1:26.712,1:26.259,\N,86.712,86.259,12
14,18,6,3,8,14,1:26.891,1:26.413,\N,86.89099999999999,86.413,13
15,18,17,9,10,15,1:26.914,\N,\N,86.914,NA,15
16,18,8,6,1,16,1:26.140,\N,\N,86.14,NA,5
17,18,21,10,21,17,1:27.207,\N,\N,87.207,NA,17
18,18,7,5,14,18,1:27.446,\N,\N,87.446,NA,18
19,18,16,10,20,19,1:27.859,\N,\N,87.85900000000001,NA,19
20,18,11,8,18,20,1:28.208,\N,\N,88.208,NA,20
21,18,12,4,6,21,1:28.330,\N,\N,88.33,NA,21
22,18,19,8,19,22,1:29.059,\N,\N,89.059,NA,22
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,95.34700000000001,94.412,3
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,95.64500000000001,94.188,6
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,95.227,94.759,2
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,95.392,94.62700000000001,4
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,95.205,94.96000000000001,1
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,95.794,94.811,8
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,95.729,94.648,7
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,95.44,94.967,5
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,95.983,95.14,12
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,95.89099999999999,95,11
33,19,18,11,16,11,1:35.847,1:35.208,\N,95.84700000000001,95.208,10
34,19,14,9,9,12,1:36.058,1:35.408,\N,96.05799999999999,95.408,13
35,19,12,4,6,13,1:36.074,1:35.562,\N,96.074,95.562,14
36,19,22,11,17,14,1:36.198,1:35.622,\N,96.19800000000001,95.622,16
37,19,20,5,15,15,1:36.111,1:35.648,\N,96.11099999999999,95.648,15
38,19,3,3,7,16,1:35.843,1:35.670,\N,95.843,95.67,9
39,19,21,10,21,17,1:36.240,\N,\N,96.24000000000001,NA,17
40,19,6,3,8,18,1:36.388,\N,\N,96.388,NA,18
41,19,7,5,14,19,1:36.677,\N,\N,96.67699999999999,NA,19
42,19,11,8,18,20,1:37.087,\N,\N,97.087,NA,20
43,19,16,10,20,21,1:37.101,\N,\N,97.101,NA,21
44,19,19,8,19,22,1:37.481,\N,\N,97.481,NA,22
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,92.893,91.745,7
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,91.937,91.188,1
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,92.75,91.922,4
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,92.652,91.93299999999999,3
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,93.057,91.718,12
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,93.137,91.90899999999999,13
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,92.493,92.15899999999999,2
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,92.90299999999999,92.185,8
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,92.793,92.362,5
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,92.947,92.345,10
55,20,17,9,10,11,1:33.194,1:32.371,\N,93.194,92.37100000000001,14
56,20,22,11,17,12,1:32.944,1:32.508,\N,92.944,92.50800000000001,9
57,20,10,7,12,13,1:32.800,1:32.528,\N,92.8,92.52799999999999,6
58,20,12,4,6,14,1:32.975,1:32.790,\N,92.975,92.78999999999999,11
59,20,7,5,14,15,1:33.415,1:32.915,\N,93.41499999999999,92.91499999999999,16
60,20,6,3,8,16,1:33.386,1:32.943,\N,93.386,92.943,15
61,20,14,9,9,17,1:33.433,\N,\N,93.43299999999999,NA,17
62,20,21,10,21,18,1:33.501,\N,\N,93.501,NA,18
63,20,20,5,15,19,1:33.562,\N,\N,93.562,NA,19
64,20,16,10,20,20,1:33.845,\N,\N,93.845,NA,20
65,20,19,8,19,21,1:34.140,\N,\N,94.14,NA,21
66,20,11,8,18,22,1:35.725,\N,\N,95.725,NA,22
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,80.701,80.78399999999999,1
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,81.34700000000001,80.804,3
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,81.52799999999999,80.584,12
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,81.423,80.59700000000001,6
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,81.366,80.825,4
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,81.43,80.81700000000001,8
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,81.494,80.98400000000001,11
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,81.158,80.907,2
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,81.46600000000001,80.815,9
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,81.40899999999999,80.894,5
77,21,22,11,17,11,1:21.548,1:21.049,\N,81.548,81.049,14
78,21,6,3,8,12,1:21.690,1:21.117,\N,81.69,81.117,15
79,21,18,11,16,13,1:21.757,1:21.211,\N,81.757,81.211,16
80,21,10,7,12,14,1:21.427,1:21.230,\N,81.42699999999999,81.23,7
81,21,3,3,7,15,1:21.472,1:21.349,\N,81.47200000000001,81.349,10
82,21,7,5,14,16,1:21.540,1:21.724,\N,81.53999999999999,81.724,13
83,21,14,9,9,17,1:21.810,\N,\N,81.81,NA,17
84,21,20,5,15,18,1:22.108,\N,\N,82.108,NA,18
85,21,21,10,21,19,1:22.516,\N,\N,82.51599999999999,NA,19
86,21,16,10,20,20,1:23.224,\N,\N,83.224,NA,20
87,21,19,8,19,21,1:23.318,\N,\N,83.318,NA,21
88,21,11,8,18,22,1:23.496,\N,\N,83.496,NA,22
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85.994,86.19200000000001,1
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86.736,86.28999999999999,6
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86.19200000000001,86.477,2
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86.457,86.05,3
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86.761,86.129,7
