qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q3sec
6332,927,830,5,33,6,1:40.793,1:41.430,1:51.981,100.793,111.981
6390,930,830,5,33,6,1:27.393,1:26.441,1:26.249,87.393,86.249
6414,931,830,5,33,10,1:16.750,1:16.546,1:16.957,76.75,76.957
6450,933,830,5,33,7,1:11.307,1:09.631,1:09.612,71.307,69.612
6492,936,830,5,33,9,1:24.032,1:23.781,1:23.679,84.032,83.679
6551,939,830,5,33,8,1:46.483,1:45.635,1:45.798,106.483,105.798
6592,941,830,5,33,9,1:39.411,1:39.119,1:38.924,99.411,98.924
6630,943,830,5,33,8,1:20.995,1:20.894,1:20.710,80.995,80.71000000000001
6652,944,830,5,33,10,1:12.824,1:12.712,1:12.739,72.824,72.739
6687,948,830,5,33,5,1:26.934,1:25.615,1:25.434,86.934,85.434
6735,950,830,5,33,9,1:38.181,1:37.265,1:37.194,98.181,97.194
6757,951,830,5,33,9,1:38.123,1:37.510,1:37.583,98.12299999999999,97.583
6774,952,830,9,33,4,1:23.578,1:23.178,1:23.087,83.578,83.087
6819,954,830,9,33,5,1:14.601,1:13.793,1:13.414,74.601,73.414
6844,955,830,9,33,9,1:44.939,1:44.387,1:45.570,104.939,105.57
6866,956,830,9,33,9,1:07.131,1:06.866,1:11.153,67.131,71.153
6882,957,830,9,33,3,1:31.305,1:30.697,1:30.313,91.305,90.313
6904,958,830,9,33,4,1:40.424,1:22.660,1:20.557,100.424,80.557
6926,959,830,9,33,4,1:15.875,1:15.124,1:14.834,75.875,74.834
6946,960,830,9,33,2,1:48.407,1:47.163,1:46.893,108.407,106.893
6972,961,830,9,33,7,1:23.229,1:22.857,1:22.411,83.229,82.411
6990,962,830,9,33,4,1:45.036,1:44.112,1:43.328,105.036,103.328
7011,963,830,9,33,3,1:35.443,1:33.775,1:33.420,95.443,93.42
7035,964,830,9,33,5,1:32.487,1:31.489,1:31.178,92.487,91.178
7056,965,830,9,33,4,1:36.613,1:36.857,1:35.747,96.613,95.747
7077,966,830,9,33,3,1:19.874,1:18.972,1:19.054,79.874,79.054
